Unnamed: 0,Phrase,Class,Class_index
9233,"Hi trash, where should I discard my paper sugar bag ?",PAPER SUGAR BAG,24.0
34286,Where do I have to throw my books ?,PAPER SHEET,23.0
41138,Where does my rest of [food] go ?,PAPER MAGASINE,20.0
14359,"I have this coca-cola glass bottle to throw, where should I put it ?",GLASS BOTTLE,11.0
42008,Where should I put my decomposable packaging,COMPOSTABLE PACKAGING,5.0
3221,"Excuse me, can you help me ? I don't know where to throw my brewfist glass bottle",GLASS BOTTLE,11.0
24807,Is a plastic gloves recyclable ?,PLASTIC GLOVES,35.0
19499,In what trash does my sprite can go ?,ALUMINIUM CAN,0.0
9163,"Hi trash, where should I discard this pulp-based packaging ?",PAPER PACKAGING,21.0
15020,"I have my plastic cutlery to throw, where should I put it ?",PLASTIC CUTLERY,33.0
6802,"Hey, I'm going to throw this macdonald bag",PAPER FOOD PACKAGING,39.0
35353,Where do I put this blister pack ?,MEDS BLISTER,14.0
5787,"Hey, I'm going to throw a eco-friendly packaging",COMPOSTABLE PACKAGING,5.0
1000,Can I recycle this nestle plastic bottle ?,PLASTIC BOTTLE,29.0
33029,Where can I throw my powerade plastic bottle ?,PLASTIC BOTTLE,29.0
11121,I have [a/an] tobacco pack,TOBACCO PACK,49.0
10801,I have [a/an] voss plastic cap,PLASTIC CAP,31.0
19431,I want to throw a bus ticket,TRANSPORT TICKET,46.0
13745,I have my candy plastic bag to throw,PLASTIC SNACK PACKAGING,38.0
26789,Open for my majestic alkaline battery,CYLINDRICAL BATTERY,9.0
9024,"Hi trash, where should I discard a dairy products ?",ORGANIC SCRAPS,17.0
27779,Open for my majestic transport ticket,TRANSPORT TICKET,46.0
39331,Where does this zinc-carbon battery goes?,CYLINDRICAL BATTERY,9.0
38091,Where does a asus charger belong?,LAPTOP CHARGER,13.0
4215,"Excuse me, can you help me ? I have to throw a beer can",ALUMINIUM CAN,0.0
13120,I have this xiaomi phone to throw,SMARTPHONE,16.0
4351,"Excuse me, can you help me ? I have to throw this camel pack",CIGARETTE PACK,4.0
31801,Where can I put this plastic containers ?,PLASTIC PACKAGING,36.0
44972,I would like to throw my ichnusa glass bottle,GLASS BOTTLE,11.0
27095,Open for my majestic vegetable scraps,ORGANIC SCRAPS,17.0
26434,Is there anyway I could get rid of this tobacco pack ?,TOBACCO PACK,49.0
6965,"Hey, in which trash does my coca-cola can goes ? Thank you",ALUMINIUM CAN,0.0
28622,Should I recycle my focus ?,PAPER MAGASINE,20.0
30274,what bin is best suited for this sprite plastic cap ?,PLASTIC CAP,31.0
30396,what bin is best suited for a hygiene glove ?,PLASTIC GLOVES,35.0
6526,"Hey, I'm going to throw this plastic bag",PLASTIC BAG,28.0
43496,Where to throw my lithium battery ?,CYLINDRICAL BATTERY,9.0
13480,I have this google phone charger to throw,PHONE CHARGER,26.0
44854,I would like to throw this vinegar packets,CONDIMENT PACKETS,6.0
21394,In which bin does this microsoft charger go ?,LAPTOP CHARGER,13.0
18762,I want to throw a bread and baked goods,ORGANIC SCRAPS,17.0
20430,In what trash does a lg phone charger go ?,PHONE CHARGER,26.0
43742,Where to throw my oneplus phone ?,SMARTPHONE,16.0
23240,In which bin should I throw my shopping bag ?,PLASTIC BAG,28.0
17951,I wonder where I should throw my plastic straw ?,PLASTIC STRAW,41.0
36778,Where do I throw this google phone,SMARTPHONE,16.0
28660,Should I recycle this compostable packaging ?,PAPER PACKAGING,21.0
25983,Is there anyway I could get rid of a xiaomi phone charger ?,PHONE CHARGER,26.0
23399,In which bin should I throw my plastic cups ?,PLASTIC DISH,34.0
33619,Where do I have to throw this vogue pack ?,CIGARETTE PACK,4.0
29330,what bin is best suited for my natural light can ?,ALUMINIUM CAN,0.0
39511,Where does this capsule blister goes?,MEDS BLISTER,14.0
21026,In which bin does my canned pasta go ?,ALUMINIUM CAN,0.0
43030,Where should I put this plastic tray insert,PLASTIC TRAY,42.0
41211,Where does my rest of [food] go ?,PAPER SHEET,23.0
12792,I have a condiment packets to throw,CONDIMENT PACKETS,6.0
23558,In which bin should I throw my invoice ?,RECEIPT,43.0
3426,"Excuse me, can you help me ? I don't know where to throw a avocados",ORGANIC SCRAPS,17.0
42084,Where should I put a tissue,CRUMBLED TISSUE,8.0
11708,"I have [a/an] perrier cap, where do I throw it  ?",METAL CAP,15.0
39100,Where does this nos can goes?,ALUMINIUM CAN,0.0
7836,"Hey, in which trash does a books goes ? Thank you",PAPER SHEET,23.0
14815,"I have this fiber tray to throw, where should I put it ?",PAPER TRAY,25.0
32173,Where can I throw this aluminium sheet ?,ALUMINIUM SHEET,1.0
12426,"I have [a/an] check, where do I throw it  ?",RECEIPT,43.0
5803,"Hey, I'm going to throw this recyclable packaging",COMPOSTABLE PACKAGING,5.0
30053,what bin is best suited for my compostable packaging ?,PAPER PACKAGING,21.0
22710,In which bin should I throw a coca-cola glass bottle ?,GLASS BOTTLE,11.0
35680,Where do I put this paper sugar bag ?,PAPER SUGAR BAG,24.0
4144,"Excuse me, can you help me ? I don't know where to throw this wooden fork",WOODEN CUTLERY,47.0
31034,Where can I put my heineken glass bottle ?,GLASS BOTTLE,11.0
26542,Open for my majestic pabst blue ribbon can,ALUMINIUM CAN,0.0
32732,Where can I throw my paper cup ?,PAPER CUP,19.0
18798,I want to throw a compostable bowl,PAPER BOWL,18.0
21761,In which bin does my paper sugar bag go ?,PAPER SUGAR BAG,24.0
23884,Is this eco-friendly packaging recyclable ?,COMPOSTABLE PACKAGING,5.0
39543,Where does a san pellegrino cap goes?,METAL CAP,15.0
15257,"I have my bus ticket to throw, where should I put it ?",TRANSPORT TICKET,46.0
6759,"Hey, I'm going to throw a mixed paper-plastic packaging",MIXED PAPER-PLASTIC PACKAGING,37.0
4741,"Excuse me, can you help me ? I have to throw this pepsi cap",METAL CAP,15.0
4867,"Excuse me, can you help me ? I have to throw this hot bowl",PAPER BOWL,18.0
18804,I want to throw a pulp bowl,PAPER BOWL,18.0
1911,Could I throw a razer charger in this trash ?,LAPTOP CHARGER,13.0
18444,I want to throw a nickel-cadmium battery,CYLINDRICAL BATTERY,9.0
27682,Open for my majestic macdonald bag,PAPER FOOD PACKAGING,39.0
31342,Where can I put this disposable cup ?,PAPER CUP,19.0
7251,"Hey, in which trash does a mustard packets goes ? Thank you",CONDIMENT PACKETS,6.0
32605,Where can I throw this oneplus phone ?,SMARTPHONE,16.0
43169,Where to throw my dr pepper can ?,ALUMINIUM CAN,0.0
38445,Where does a legal pads belong?,PAPER SHEET,23.0
34682,Where do I have to throw my plastic basket ?,PLASTIC TRAY,42.0
10827,I have [a/an] stadium cup,PLASTIC CUP,32.0
32814,Where can I throw a topolino (for children) ?,PAPER MAGASINE,20.0
30557,what bin is best suited for my tea strainer bag ?,TEA BAG,44.0
44310,Where to throw a throwaway glove ?,PLASTIC GLOVES,35.0
1900,Could I throw this asus charger in this trash ?,LAPTOP CHARGER,13.0
842,Can I recycle my sheet of paper ?,PAPER SHEET,23.0
22506,In which bin should I throw a recyclable packaging ?,COMPOSTABLE PACKAGING,5.0
20444,In what trash does my pizza box go ?,PIZZA BOX,27.0
2059,Could I throw this bread and baked goods in this trash ?,ORGANIC SCRAPS,17.0
37421,Where do I throw my paper food packaging,PAPER FOOD PACKAGING,39.0
34247,Where do I have to throw my paper sheet ?,PAPER SHEET,23.0
16123,"I have this pulp-based packaging, where should I throw it ?",PAPER PACKAGING,21.0
21785,In which bin does my molded fiber tray go ?,PAPER TRAY,25.0
32629,Where can I throw this fruit scraps ?,ORGANIC SCRAPS,17.0
27792,Open for my majestic subway ticket,TRANSPORT TICKET,46.0
3858,"Excuse me, can you help me ? I don't know where to throw a plastic glass",PLASTIC CUP,32.0
8596,"Hi trash, where should I discard this environmentally responsible packaging ?",COMPOSTABLE PACKAGING,5.0
26882,Open for my majestic menabrea glass bottle,GLASS BOTTLE,11.0
19761,In what trash does a dressing packets go ?,CONDIMENT PACKETS,6.0
29478,what bin is best suited for a decomposable packaging ?,COMPOSTABLE PACKAGING,5.0
27824,Open for my majestic wooden ustensils,WOODEN STICKS,48.0
17904,I wonder where I should throw a paperboard containers with plastic windows ?,MIXED PAPER-PLASTIC PACKAGING,37.0
24319,Is this tea bags recyclable ?,ORGANIC SCRAPS,17.0
25723,Is there anyway I could get rid of this bread and baked goods ?,ORGANIC SCRAPS,17.0
564,Can I recycle a pepsi cap ?,METAL CAP,15.0
38699,Where does my plastic plates belong?,PLASTIC DISH,34.0
628,Can I recycle this mangoes ?,ORGANIC SCRAPS,17.0
43031,Where should I put my plastic tray insert,PLASTIC TRAY,42.0
21753,In which bin does a ledgers go ?,PAPER SHEET,23.0
19001,I want to throw my molded fiber tray,PAPER TRAY,25.0
30265,what bin is best suited for this pepsi plastic cap ?,PLASTIC CAP,31.0
40491,Where does my rest of [food] go ?,ALUMINIUM CAN,0.0
27855,Should I recycle a dr pepper can ?,ALUMINIUM CAN,0.0
18221,I want to throw my nos can,ALUMINIUM CAN,0.0
35630,Where do I put my biodegradable packaging ?,PAPER PACKAGING,21.0
7112,"Hey, in which trash does my canned tomatoes goes ? Thank you",ALUMINIUM CAN,0.0
14993,"I have my plastic tumbler to throw, where should I put it ?",PLASTIC CUP,32.0
399,Can I recycle a san pellegrino glass bottle ?,GLASS BOTTLE,11.0
29261,what bin is best suited for my crush can ?,ALUMINIUM CAN,0.0
39592,Where does this apples goes?,ORGANIC SCRAPS,17.0
21208,In which bin does this tissues go ?,CRUMBLED TISSUE,8.0
34774,Where do I have to throw this wooden sticks ?,WOODEN STICKS,48.0
20490,In what trash does a aquafina plastic bottle go ?,PLASTIC BOTTLE,29.0
42366,Where should I put a nokia phone,SMARTPHONE,16.0
38929,Where does this subway ticket belong?,TRANSPORT TICKET,46.0
27630,Open for my majestic plastic jars,PLASTIC PACKAGING,36.0
38369,Where does my max belong?,PAPER MAGASINE,20.0
22811,In which bin should I throw my medication blister ?,MEDS BLISTER,14.0
13252,I have this coffee cup to throw,PAPER CUP,19.0
2579,Could I throw my plastic clamshells in this trash ?,PLASTIC PACKAGING,36.0
42540,Where should I put a focus,PAPER MAGASINE,20.0
37243,Where do I throw this evian plastic cap,PLASTIC CAP,31.0
31986,Where can I put a wooden spoon ?,WOODEN CUTLERY,47.0
41026,Where does my rest of [food] go ?,ORGANIC SCRAPS,17.0
24801,Is a plastic salad bowls recyclable ?,PLASTIC DISH,34.0
43813,Where to throw this pasta ?,ORGANIC SCRAPS,17.0
18160,I want to throw this brewfist can,ALUMINIUM CAN,0.0
15885,"I have a nestea cap, where should I throw it ?",METAL CAP,15.0
31983,Where can I put a wooden fork ?,WOODEN CUTLERY,47.0
43441,Where to throw this ketchup packets ?,CONDIMENT PACKETS,6.0
14734,"I have this paperboard packaging to throw, where should I put it ?",PAPER PACKAGING,21.0
2644,Could I throw this plastic container in this trash ?,PLASTIC TRAY,42.0
24470,Is my cardboard packaging recyclable ?,PAPER PACKAGING,21.0
26353,Is there anyway I could get rid of this tea sachet ?,TEA BAG,44.0
29110,Should I recycle this plastic tray insert ?,PLASTIC TRAY,42.0
39120,Where does a canned pasta goes?,ALUMINIUM CAN,0.0
5139,"Excuse me, can you help me ? I have to throw a ldpe bag",PLASTIC BAG,28.0
13671,I have a plastic gloves to throw,PLASTIC GLOVES,35.0
11879,"I have [a/an] compostable cup, where do I throw it  ?",PAPER CUP,19.0
33951,Where do I have to throw a unit-dose blister ?,MEDS BLISTER,14.0
3918,"Excuse me, can you help me ? I don't know where to throw a plastic serving platters",PLASTIC DISH,34.0
31936,Where can I put this tea filter bag ?,TEA BAG,44.0
40987,Where does my rest of [food] go ?,ORGANIC SCRAPS,17.0
19592,In what trash does my modelo can go ?,ALUMINIUM CAN,0.0
12895,I have this lithium-polymer battery to throw,CYLINDRICAL BATTERY,9.0
36557,Where do I throw my lithium-ion battery,CYLINDRICAL BATTERY,9.0
4962,"Excuse me, can you help me ? I have to throw a la cucina italiana",PAPER MAGASINE,20.0
17915,I wonder where I should throw my plastic snack packaging ?,PLASTIC SNACK PACKAGING,38.0
43499,Where to throw my lead-acid battery ?,CYLINDRICAL BATTERY,9.0
26506,Open for my majestic menabrea can,ALUMINIUM CAN,0.0
14840,"I have my apple phone charger to throw, where should I put it ?",PHONE CHARGER,26.0
33847,Where do I have to throw this coca-cola glass bottle ?,GLASS BOTTLE,11.0
26689,Open for my majestic earth-friendly packaging,COMPOSTABLE PACKAGING,5.0
39815,Where does my paper sheet goes?,PAPER SHEET,23.0
